Date,Close,Volume
9/14/2015,133,687400
9/11/2015,136,868500
9/10/2015,134,1089700
9/9/2015,139,1840100
9/8/2015,126,549500
9/7/2015,127,462000
9/4/2015,127,1103900
9/3/2015,131,362500
9/2/2015,130,1287800
9/1/2015,132,976900
8/31/2015,139,664000
8/28/2015,138,1004100
8/27/2015,134,1291900
8/26/2015,137,1353200
8/25/2015,127,2860500
8/24/2015,129,2293700
8/21/2015,140,1925700
8/20/2015,147,1388700
8/19/2015,152,783000
8/18/2015,157,998100
8/17/2015,152,633800
8/14/2015,151,991000
8/13/2015,151,844900
8/12/2015,149,1904700
8/11/2015,157,1654600
8/10/2015,158,1598700
8/7/2015,161,1832900
8/6/2015,155,1709700
8/5/2015,161,1553500
8/4/2015,159,1194100
8/3/2015,156,2380100
7/31/2015,161,2462400
7/30/2015,162,1602500
7/29/2015,164,3048600
7/28/2015,166,2900100
7/27/2015,168,2988100
7/24/2015,176,3969800
7/23/2015,175,2738400
7/22/2015,175,7355000
7/21/2015,182,9545000
7/17/2015,186,14481700
7/16/2015,174,11763000
7/15/2015,168,5480000
7/14/2015,165,5360900
7/13/2015,174,5842900
7/10/2015,174,10583400
7/9/2015,179,11553700
7/8/2015,179,18808600
7/7/2015,190,36003800
7/6/2015,163,12856500
7/3/2015,164,24779200
7/2/2015,161,20323300
7/1/2015,156,48149600
6/30/2015,135,914400
6/29/2015,131,1246600
6/26/2015,137,1194200
6/25/2015,139,2000400
6/24/2015,134,841600
6/23/2015,133,554400
6/22/2015,131,785200
6/19/2015,132,184500
6/18/2015,132,502400
6/17/2015,135,812600
6/16/2015,134,614900
6/15/2015,133,311200
6/12/2015,133,659700
6/11/2015,132,360700
6/10/2015,133,759800
6/9/2015,132,634900
6/8/2015,135,655100
6/5/2015,134,595500
6/4/2015,132,755900
6/3/2015,134,625200
6/2/2015,133,962900
6/1/2015,136,964900
5/29/2015,135,1412900
5/28/2015,131,814000
5/27/2015,134,1673200
5/26/2015,128,403000
5/25/2015,129,582900
5/22/2015,126,446900
5/21/2015,127,469600
5/20/2015,128,809900
5/19/2015,129,1286300
5/18/2015,128,1310800
5/15/2015,124,606000
5/14/2015,121,1229300
5/13/2015,122,622100
5/12/2015,120,250400
5/11/2015,120,1183200
5/8/2015,116,117100
5/7/2015,116,123600
5/1/2015,116,221500
4/30/2015,116,235500
4/28/2015,117,269900
4/27/2015,118,173100
4/24/2015,117,184500
4/23/2015,116,209900
4/22/2015,118,114700
4/21/2015,117,525600
4/20/2015,116,134000
4/17/2015,116,134600
4/16/2015,118,312300
4/15/2015,117,213500
4/14/2015,116,101100
4/13/2015,115,287500
4/10/2015,116,267700
4/9/2015,116,233700
4/8/2015,116,362400
4/7/2015,115,208800
4/6/2015,115,369000
4/3/2015,115,199900
4/2/2015,115,285700
4/1/2015,114,157700
3/31/2015,114,343800
3/30/2015,116,272600
3/27/2015,117,570900
3/26/2015,121,422100
3/25/2015,120,284600
3/24/2015,122,325200
3/23/2015,121,243700
3/20/2015,120,347900
3/19/2015,120,469400
3/18/2015,121,517800
3/17/2015,120,347000
3/16/2015,120,528600
3/13/2015,119,473000
3/12/2015,120,567700
3/11/2015,120,197100
3/10/2015,119,250400
3/9/2015,119,164100
3/6/2015,119,260500
3/5/2015,119,263400
3/4/2015,118,176700
3/3/2015,118,132500
3/2/2015,119,410300
2/27/2015,119,330400
2/26/2015,120,312100
2/25/2015,119,497500
2/24/2015,119,733000
2/23/2015,119,653500
2/20/2015,118,441000
2/19/2015,118,363500
2/18/2015,117,798600
2/17/2015,118,611800
2/16/2015,115,716400
2/13/2015,114,254800
2/12/2015,114,550200
2/10/2015,112,150100
2/9/2015,112,316000
2/6/2015,110,153400
2/5/2015,110,149200
2/4/2015,110,158200
2/3/2015,110,274500
2/2/2015,109,81100
1/30/2015,110,165800
1/29/2015,110,360000
1/28/2015,110,372800
1/27/2015,110,147200
1/26/2015,110,89100
1/23/2015,109,109300
1/22/2015,109,161200
1/21/2015,108,188500
1/20/2015,110,551800
1/19/2015,110,322500
1/16/2015,108,310300
1/15/2015,108,285400
1/14/2015,107,338700
1/13/2015,109,92500
1/9/2015,109,259100
1/8/2015,111,234500
1/7/2015,108,167100
1/6/2015,109,148700
1/5/2015,110,176200
